id,instruction,modality_hint,task,class
13,Could you boost the downsampled resolution affecting the lung parenchyma without amplifying noise for reliable interpretation?,implicit,medical image restoration – super-resolution,SR
437,I need you to suppress background acquisition noise in this CT image affecting the myocardial wall while preserving natural texture for reliable interpretation?,CT,medical image restoration – denoising,noise
97,Is it possible to remove cardiac motion blur in this CT image affecting the orbital structures without amplifying noise for accurate diagnosis?,CT,medical image restoration – deblurring,blur
44,Is it possible to mitigate motion blur affecting the liver parenchyma while preserving natural texture ?,implicit,medical image restoration – deblurring,blur
815,I need you to suppress Gaussian noise in this MRI image affecting the pelvic organs without altering intensity relationships urgently?,MRI,medical image restoration – denoising,noise
491,Could you minimize Poisson noise affecting the orbital structures while preserving natural texture for immediate review?,implicit,medical image restoration – denoising,noise
229,Can you correct quantum noise in this X-ray image affecting the intervertebral discs while maintaining diagnostic contrast urgently?,X-ray,medical image restoration – denoising,noise
760,Please reduce motion blur in this X-ray image affecting the bowel wall while maintaining diagnostic contrast as soon as possible?,X-ray,medical image restoration – deblurring,blur
627,Can you refine the reduced sampling density in this PET image affecting the lesion boundaries without amplifying noise for immediate review?,PET,medical image restoration – super-resolution,SR
19,"For this scan, can you reduce dose reduction banding in this X-ray scan affecting the pancreatic tissue while keeping edges sharp ?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
750,I need you to mitigate dose reduction banding affecting the soft tissue planes while keeping edges sharp for accurate diagnosis?,implicit,medical image restoration – low-dose artifact reduction,low-dose
67,Can you increase the low spatial resolution in this MRI image affecting the abdominal organs without introducing artificial textures for accurate diagnosis?,MRI,medical image restoration – super-resolution,SR
26,Could you reduce system-induced blur in this CT image affecting the spinal cord while preserving natural texture for immediate review?,CT,medical image restoration – deblurring,blur
303,Can you eliminate quantum mottle in this CT scan affecting the pelvic organs without introducing artificial smoothing ?,CT,medical image restoration – low-dose artifact reduction,low-dose
611,Could you eliminate shot noise in this MRI image affecting the intervertebral discs without blurring fine detail as soon as possible?,MRI,medical image restoration – denoising,noise
680,Please remove partial volume blur affecting the coronary vessels while maintaining diagnostic contrast as soon as possible?,implicit,medical image restoration – deblurring,blur
843,Is it possible to filter out background acquisition noise affecting the brain cortex while preserving natural texture ?,implicit,medical image restoration – denoising,noise
645,I need you to reduce noise from aggressive dose reduction affecting the lesion boundaries while preserving low-contrast pathology for reliable interpretation?,implicit,medical image restoration – low-dose artifact reduction,low-dose
223,"For this case, can you eliminate structured noise in this PET image affecting the shoulder tendons without altering intensity relationships as soon as possible?",PET,medical image restoration – denoising,noise
782,Please address partial volume blur in this PET image affecting the abdominal organs without introducing artificial edges ?,PET,medical image restoration – deblurring,blur
